City,Product ID,Order ID,First Name,Last Name,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit,Latitude,Longitude
Brooklyn,Product1,987410676,Sofia,Poole,5616,205.7,117.11,1155211.2,657689.76,497521.44,40.68279,-74.00556
New York City,Product1,672330081,Samuel,Wendt,6266,651.21,524.96,4080481.86,3289399.36,791082.5,40.75675,-73.97008
New York City,Product2,127374303,Virgil,Trowbridge,1742,47.45,31.79,82657.9,55378.18,27279.72,40.77158,-73.95038
New York City,Product1,783842170,Elda,Champagne,5172,255.28,159.42,1320308.16,824520.24,495787.92,40.83951,-73.94077
New York City,Product1,993345010,Robert,Guinn,1718,47.45,31.79,81519.1,54615.22,26903.88,40.76815,-73.95696
New York City,Product1,977806651,Humberto,Sauer,3572,255.28,159.42,911860.16,569448.24,342411.92,40.7229,-73.99889
New York City,Product1,579463422,Anastasia,Childers,4958,9.33,6.92,46258.14,34309.36,11948.78,40.75658,-73.98629
New York City,Product1,610864150,Collene,Kidd,7132,47.45,31.79,338413.4,226726.28,111687.12,40.72258,-74.00624
New York City,Product1,604870164,Harris,Beavers,3378,152.58,97.44,515415.24,329152.32,186262.92,40.71668,-73.9977
New York City,Product1,164655292,Kathe,John,4015,205.7,117.11,825885.5,470196.65,355688.85,40.77966,-73.95609
New York City,Product1,313705861,Ashly,Stanton,1390,9.33,6.92,12968.7,9618.8,3349.9,40.77746,-73.97885
New York City,Product1,345820701,Geraldo,Easley,4885,651.21,524.96,3181160.85,2564429.6,616731.25,40.76302,-73.96761
New York City,Product1,975111138,Leigh,Fite,5910,255.28,159.42,1508704.8,942172.2,566532.6,40.74743,-74.00339
Bronx,Product1,286001002,Devon,Knox,2907,152.58,97.44,443550.06,283258.08,160291.98,40.84628,-73.89296
New York City,Product1,483226621,Yevette,Mullis,6350,437.2,263.33,2776220,1672145.5,1104074.5,40.73803,-73.99857
New York City,Product1,241836822,Irena,Dang,3744,109.28,35.84,409144.32,134184.96,274959.36,40.77067,-73.96198
New York City,Product1,557192933,Cory,Hayden,4626,109.28,35.84,505529.28,165795.84,339733.44,40.73333,-74.00262
New York City,Product1,694968783,Dolores,Begley,5562,421.89,364.69,2346552.18,2028405.78,318146.4,40.7568,-73.96401
New York City,Product1,441150701,Benjamin,Doss,5150,9.33,6.92,48049.5,35638,12411.5,40.7482,-73.98473
New York City,Product1,552037513,Theron,Farmer,9022,205.7,117.11,1855825.4,1056566.42,799258.98,40.74677,-73.99363
New York City,Product2,504240548,Hilton,Mcgehee,4838,437.2,263.33,2115173.6,1273990.54,841183.06,40.78609,-73.97107
New York City,Product1,744683635,Sixta,Beaudoin,7291,154.06,90.93,1123251.46,662970.63,460280.83,40.77643,-73.94813
New York City,Product1,440603101,Sade,Shay,3104,81.73,56.67,253689.92,175903.68,77786.24,40.74977,-73.97518
New York City,Product2,629547774,Shemika,Beckman,6031,109.28,35.84,659067.68,216151.04,442916.64,40.75971,-73.98065
Long Island City,Product2,169378983,Winfred,Gonzales,1860,421.89,364.69,784715.4,678323.4,106392,40.7667,-73.92097
Bayside,Product1,688270556,Rogelio,Woodall,3407,81.73,56.67,278454.11,193074.69,85379.42,40.77942,-73.77563
Far Rockaway,Product1,734708821,Damion,Rafferty,5522,421.89,364.69,2329676.58,2013818.18,315858.4,40.60378,-73.752
Flushing,Product2,727492606,Dannie,Catron,84,152.58,97.44,12816.72,8184.96,4631.76,40.76001,-73.83035
Forest Hills,Product1,705733239,Stephan,Titus,1003,255.28,159.42,256045.84,159898.26,96147.58,40.72118,-73.8441
New York City,Product2,778854548,Dorian,Sage,9224,651.21,524.96,6006761.04,4842231.04,1164530,40.80369,-73.96685
Jamaica,Product1,676592862,Jake,Espinal,7718,437.2,263.33,3374309.6,2032380.94,1341928.66,40.67933,-73.77793
Long Island City,Product1,198997008,Claudio,Heck,6492,668.27,502.54,4338408.84,3262489.68,1075919.16,40.74251,-73.95271
Astoria,Product1,566428315,Marcel,Trotter,7581,47.45,31.79,359718.45,240999.99,118718.46,40.75923,-73.9196
Rego Park,Product1,369560611,Dillon,Dominguez,52,255.28,159.42,13274.56,8289.84,4984.72,40.72943,-73.85975
Staten Island,Product1,519380223,Sammy,Dewitt,5005,152.58,97.44,763662.9,487687.2,275975.7,40.62683,-74.07567
Oceanside,Product1,197185981,Sterling,Serna,568,651.21,524.96,369887.28,298177.28,71710,40.63109,-73.64089
Pelham,Product1,904589211,Ivonne,Manning,6905,651.21,524.96,4496605.05,3624848.8,871756.25,40.91176,-73.80945
Rockville Centre,Product1,613513743,Clair,Harwell,1205,668.27,502.54,805265.35,605560.7,199704.65,40.65661,-73.64764
Hempstead,Product1,516195905,Jenni,Goolsby,2694,109.28,35.84,294400.32,96552.96,197847.36,40.70674,-73.63147
Staten Island,Product1,975184524,Tayna,Poston,7626,154.06,90.93,1174861.56,693432.18,481429.38,40.62419,-74.13831
Woodbury,Product1,173340928,Vern,Mackenzie,4287,109.28,35.84,468483.36,153646.08,314837.28,40.81449,-73.47665
Elmsford,Product1,863838946,Harrison,Hawk,7995,81.73,56.67,653431.35,453076.65,200354.7,41.06551,-73.81447
Plainview,Product1,920164906,Preston,Tribble,6099,205.7,117.11,1254564.3,714253.89,540310.41,40.7763,-73.47066
Brooklyn,Product2,986117637,Aleen,Araujo,2977,421.89,364.69,1255966.53,1085682.13,170284.4,40.59016,-73.96064
Thornwood,Product1,425808465,Brent,Carrillo,5042,205.7,117.11,1037139.4,590468.62,446670.78,41.11301,-73.77218
New York City,Product1,473661220,Adalberto,Tate,5736,47.45,31.79,272173.2,182347.44,89825.76,40.75411,-73.98694
Bronx,Product1,184412229,Rafael,Weeks,531,255.28,159.42,135553.68,84652.02,50901.66,40.87514,-73.87956
Oakland Gardens,Product1,483110320,Aurea,Pullen,1934,154.06,90.93,297952.04,175858.62,122093.42,40.74058,-73.75897
White Plains,Product2,115116822,Ramiro,Holguin,4481,668.27,502.54,2994517.87,2251881.74,742636.13,41.0281,-73.76476
Flushing,Product1,596105563,Celine,Lumpkin,9738,255.28,159.42,2485916.64,1552431.96,933484.68,40.72713,-73.8219
Brooklyn,Product1,362062871,Bryant,Naylor,1304,152.58,97.44,198964.32,127061.76,71902.56,40.68017,-73.94548
New York City,Product1,619287574,Oswaldo,Winchester,9810,47.45,31.79,465484.5,311859.9,153624.6,40.62724,-74.07584
Mineola,Product1,394391000,Kacy,Crandall,7916,109.28,35.84,865060.48,283709.44,581351.04,40.75111,-73.63561
Flushing,Product1,584296977,Brock,Hutcherson,5315,47.45,31.79,252196.75,168963.85,83232.9,40.75799,-73.7855
Bronx,Product1,806241834,Ramiro,Conover,3730,109.28,35.84,407614.4,133683.2,273931.2,40.87886,-73.91723
New York City,Product1,747774398,Myron,Marble,1916,421.89,364.69,808341.24,698746.04,109595.2,40.74255,-73.99181
Amityville,Product1,616755998,Freeman,Kern,660,421.89,364.69,278447.4,240695.4,37752,40.67894,-73.41969
Babylon,Product1,691360461,Mathew,Whitfield,7779,255.28,159.42,1985823.12,1240128.18,745694.94,40.69642,-73.32368
Center Moriches,Product1,870074117,Alexander,Goad,3121,47.45,31.79,148091.45,99216.59,48874.86,40.80038,-72.79423
Deer Park,Product1,221695792,Renee,Beverly,3566,651.21,524.96,2322214.86,1872007.36,450207.5,40.75895,-73.32
East Northport,Product1,135336816,Tommie,Weller,8026,9.33,6.92,74882.58,55539.92,19342.66,40.87534,-73.32424
Massapequa Park,Product1,270421016,Michale,Colson,2443,651.21,524.96,1590906.03,1282477.28,308428.75,40.66638,-73.45151
Melville,Product1,806684720,Denisha,Fitch,4790,668.27,502.54,3201013.3,2407166.6,793846.7,40.78894,-73.41543
North Bellmore,Product1,194176757,Napoleon,Kelsey,72,668.27,502.54,48115.44,36182.88,11932.56,40.68369,-73.53926
Northport,Product1,103258454,Tonya,Wilson,5326,255.28,159.42,1359621.28,849070.92,510550.36,40.90022,-73.35111
Riverhead,Product1,474603641,Clement,Hidalgo,4619,651.21,524.96,3007938.99,2424790.24,583148.75,40.92665,-72.68985
Seaford,Product1,869198644,Charles,Quintero,4049,205.7,117.11,832879.3,474178.39,358700.91,40.66589,-73.48901
Southampton,Product1,918342292,Chastity,Pineda,6747,668.27,502.54,4508817.69,3390637.38,1118180.31,40.88602,-72.39175
Huntington Station,Product2,773645913,Verna,Michaud,7873,437.2,263.33,3442075.6,2073197.09,1368878.51,40.82849,-73.41184
North Massapequa,Product2,657033336,Alfred,Beamon,9620,437.2,263.33,4205864,2533234.6,1672629.4,40.69588,-73.48077
Wantagh,Product1,410740888,Michal,Maurer,6211,421.89,364.69,2620358.79,2265089.59,355269.2,40.69326,-73.50773
West Babylon,Product1,847317397,Wenona,Carmichael,8902,421.89,364.69,3755664.78,3246470.38,509194.4,40.71363,-73.34911
Wyandanch,Product1,599624192,Allan,Bernhardt,978,47.45,31.79,46406.1,31090.62,15315.48,40.75205,-73.36144
North Patchogue,Product1,170835101,Nam,Schmidt,2758,47.45,31.79,130867.1,87676.82,43190.28,40.78404,-73.00877
Bay Shore,Product1,584436452,Yolande,Piper,6588,205.7,117.11,1355151.6,771520.68,583630.92,40.72923,-73.27809
Huntington,Product1,234227073,Whitney,Shipman,1851,651.21,524.96,1205389.71,971700.96,233688.75,40.87074,-73.43057
Mineola,Product1,734318292,Terence,Ferro,9956,651.21,524.96,6483446.76,5226501.76,1256945,40.73882,-73.64001
East Farmingdale,Product1,169133937,Alberto,Riley,9345,152.58,97.44,1425860.1,910576.8,515283.3,40.74442,-73.42264
Bronx,Product1,743410336,Jacqueline,Burk,494,205.7,117.11,101615.8,57852.34,43763.46,40.8558,-73.88736
New York City,Product1,232196319,Clemente,Gould,905,668.27,502.54,604784.35,454798.7,149985.65,40.78133,-73.96007
Hauppauge,Product1,530853211,Chang,Roden,117,47.45,31.79,5551.65,3719.43,1832.22,40.80679,-73.25463
Ronkonkoma,Product1,905054843,Marvin,Nickel,4695,9.33,6.92,43804.35,32489.4,11314.95,40.78232,-73.09576
Smithtown,Product1,240787541,Eldora,Tribble,3239,668.27,502.54,2164526.53,1627727.06,536799.47,40.85479,-73.19593
Stony Brook,Product1,194350135,Azzie,Layman,1379,421.89,364.69,581786.31,502907.51,78878.8,40.87261,-73.12509
Fort Salonga,Product1,242353951,Titus,Latimer,6775,668.27,502.54,4527529.25,3404708.5,1122820.75,40.9124,-73.30051
Nanuet,Product1,831722819,Shantell,Long,4120,154.06,90.93,634727.2,374631.6,260095.6,41.11233,-74.01439
Orangeburg,Product1,229693067,Cameron,Irvin,138,437.2,263.33,60333.6,36339.54,23994.06,41.04667,-73.94522
Valley Cottage,Product1,373813521,Virgilio,Messer,8583,205.7,117.11,1765523.1,1005155.13,760367.97,41.11734,-73.94144
Bronx,Product1,121945512,Eboni,Lujan,5242,47.45,31.79,248732.9,166643.18,82089.72,40.82725,-73.92476
Floral Park,Product1,202262866,Ward,Gauthier,2932,9.33,6.92,27355.56,20289.44,7066.12,40.75923,-73.71294
Yorktown Heights,Product1,963251912,Yasuko,Gandy,6501,81.73,56.67,531326.73,368411.67,162915.06,41.33153,-73.80646
New York City,Product1,123711478,Agustin,Eden,7830,668.27,502.54,5232554.1,3934888.2,1297665.9,40.71053,-74.01629
New York City,Product1,422752892,Sunny,Mccreary,830,109.28,35.84,90702.4,29747.2,60955.2,40.7839,-73.98015
Bronx,Product1,169799983,Janyce,Hollenbeck,6443,9.33,6.92,60113.19,44585.56,15527.63,40.84911,-73.85402
Staten Island,Product1,894589078,Bernardo,Caron,7643,154.06,90.93,1177480.58,694977.99,482502.59,40.51718,-74.23413
Brentwood,Product1,597169005,Leon,Keeling,4434,651.21,524.96,2887465.14,2327672.64,559792.5,40.77857,-73.24617
Lake Ronkonkoma,Product1,497901093,Walker,Foley,8853,651.21,524.96,5765162.13,4647470.88,1117691.25,40.83041,-73.09187
Bellmore,Product1,987459170,Rolando,Bickford,9967,81.73,56.67,814602.91,564829.89,249773.02,40.66299,-73.52854
Bronx,Product1,276829564,Glenn,Pace,8875,81.73,56.67,725353.75,502946.25,222407.5,40.8654,-73.86543
Bronx,Product1,247311103,Tandy,Binkley,3706,668.27,502.54,2476608.62,1862413.24,614195.38,40.90559,-73.90439
Bronx,Product1,600515115,Irving,Toler,4622,9.33,6.92,43123.26,31984.24,11139.02,40.82864,-73.87836
Bronx,Product1,208365428,Elin,Mayes,8815,651.21,524.96,5740416.15,4627522.4,1112893.75,40.84425,-73.78537
Bronx,Product1,263098371,William,Katz,5509,81.73,56.67,450250.57,312195.03,138055.54,40.86236,-73.8981
Bronx,Product1,227262771,Silvana,Leclair,959,651.21,524.96,624510.39,503436.64,121073.75,40.81641,-73.91896
Bronx,Product1,983719956,Kirby,Hendrick,3450,651.21,524.96,2246674.5,1811112,435562.5,40.881,-73.88322
Bronx,Product1,785643756,Rubin,Newman,8301,255.28,159.42,2119079.28,1323345.42,795733.86,40.85414,-73.86764
Brooklyn,Product1,206520497,Lee,Roderick,2859,651.21,524.96,1861809.39,1500860.64,360948.75,40.66074,-73.88503
Brooklyn,Product1,790149009,Jesus,Maupin,1505,437.2,263.33,657986,396311.65,261674.35,40.63496,-73.9922
Brooklyn,Product1,100640618,Riley,Yocum,650,205.7,117.11,133705,76121.5,57583.5,40.69423,-73.99223
Brooklyn,Product1,272419154,Nova,Bouchard,3736,81.73,56.67,305343.28,211719.12,93624.16,40.66971,-73.91058
Brooklyn,Product1,360220944,Shandra,Layman,6237,421.89,364.69,2631327.93,2274571.53,356756.4,40.712,-73.94064
Brooklyn,Product1,389094817,Jacquie,Burkett,658,47.45,31.79,31222.1,20917.82,10304.28,40.65128,-73.93028
Brooklyn,Product1,904402101,Nelle,Kenney,1534,421.89,364.69,647179.26,559434.46,87744.8,40.69073,-73.9553
Brooklyn,Product1,721816623,Rich,Whitmore,434,154.06,90.93,66862.04,39463.62,27398.42,40.65042,-73.95864
Brooklyn,Product1,977324712,Antoine,Hendrick,955,152.58,97.44,145713.9,93055.2,52658.7,40.64577,-74.01322
Brooklyn,Product1,177225196,Blaine,Judkins,3729,47.45,31.79,176941.05,118544.91,58396.14,40.62129,-73.93544
Brooklyn,Product1,948129403,Raymundo,Poirier,1415,47.45,31.79,67141.75,44982.85,22158.9,40.63432,-73.96269
Brooklyn,Product1,586961162,Blair,Tapia,3706,421.89,364.69,1563524.34,1351541.14,211983.2,40.60919,-73.95643
Brooklyn,Product1,510956799,Charley,Cabrera,2326,152.58,97.44,354901.08,226645.44,128255.64,40.61909,-73.99014
Brooklyn,Product1,407665145,Heath,Hartley,6030,421.89,364.69,2543996.7,2199080.7,344916,40.66985,-73.98073
Brooklyn,Product1,484947526,Zack,Singh,5604,421.89,364.69,2364271.56,2043722.76,320548.8,40.70909,-73.95906
Brooklyn,Product1,120977771,Zaida,Odum,8866,9.33,6.92,82719.78,61352.72,21367.06,40.63127,-73.946
Brooklyn,Product1,114242208,Porfirio,Slone,5663,81.73,56.67,462836.99,320922.21,141914.78,40.59911,-73.95374
Brooklyn,Product1,433539664,Ryan,Morrell,2876,109.28,35.84,314289.28,103075.84,211213.44,40.67313,-73.97627
Brooklyn,Product1,667981469,Luther,Hannan,9416,421.89,364.69,3972516.24,3433921.04,538595.2,40.68837,-73.98067
Brooklyn,Product1,476991450,Deon,Elizondo,1225,152.58,97.44,186910.5,119364,67546.5,40.58801,-73.95236
Brooklyn,Product1,940305936,Dana,Brinson,6277,651.21,524.96,4087645.17,3295173.92,792471.25,40.66975,-73.93096
Brooklyn,Product1,507973754,Manual,Dupuis,9577,255.28,159.42,2444816.56,1526765.34,918051.22,40.6977,-73.96749
New York City,Product1,850356233,Kenton,Franz,8161,437.2,263.33,3567989.2,2149036.13,1418953.07,40.71853,-73.99513
New York City,Product1,108127200,Julian,Bull,6096,421.89,364.69,2571841.44,2223150.24,348691.2,40.79445,-73.97206
New York City,Product1,542272984,Deon,Heath,9481,651.21,524.96,6174122.01,4977145.76,1196976.25,40.71855,-73.98854
New York City,Product1,884092414,Angela,Landers,1447,651.21,524.96,942300.87,759617.12,182683.75,40.74292,-73.98449
New York City,Product2,385196816,Heidi,Reiter,7153,668.27,502.54,4780135.31,3594668.62,1185466.69,40.73203,-73.99448
New York City,Product1,167510020,Gayle,Green,8792,421.89,364.69,3709256.88,3206354.48,502902.4,40.81054,-73.95217
New York City,Product3,973268353,Janey,Swift,589,47.45,31.79,27948.05,18724.31,9223.74,40.82581,-73.95111
New York City,Product1,915020644,Emilio,Courtney,3797,9.33,6.92,35426.01,26275.24,9150.77,40.80728,-73.94431
New York City,Product1,425628221,Brinda,Lowell,1704,437.2,263.33,744988.8,448714.32,296274.48,40.73198,-73.98219
New York City,Product1,908264911,Alexander,Lange,4626,47.45,31.79,219503.7,147060.54,72443.16,40.77162,-73.96504
New York City,Product1,686417043,Frank,Reinhardt,4912,205.7,117.11,1010398.4,575244.32,435154.08,40.75598,-73.97686
New York City,Product1,853883445,Monty,Pryor,1941,668.27,502.54,1297112.07,975430.14,321681.93,40.74387,-73.97955
Astoria,Product1,324775445,Brinda,Fortune,7126,205.7,117.11,1465818.2,834525.86,631292.34,,
Corona,Product2,783516871,Benny,Couture,8909,205.7,117.11,1832581.3,1043332.99,789248.31,,
Glen Oaks,Product2,834844052,Monty,Vogel,7762,437.2,263.33,3393546.4,2043967.46,1349578.94,40.74549,-73.71507
Hollis,Product2,953805816,Lester,Coughlin,1191,152.58,97.44,181722.78,116051.04,65671.74,40.72077,-73.76014
Jackson Heights,Product2,335763490,Shellie,Herring,8733,651.21,524.96,5687016.93,4584475.68,1102541.25,,
Forest Hills,Product1,946390902,Kerrie,Chiu,6954,437.2,263.33,3040288.8,1831196.82,1209091.98,40.71475,-73.83218
Sunnyside,Product1,771674382,Gerard,Dickens,4453,154.06,90.93,686029.18,404911.29,281117.89,40.74315,-73.91708
Ridgewood,Product1,567912757,Parker,Tuck,6860,205.7,117.11,1411102,803374.6,607727.4,40.70068,-73.89588
Woodside,Product1,711717355,Riva,Hannan,1836,651.21,524.96,1195621.56,963826.56,231795,,
Scarsdale,Product1,750012004,Steve,Mercier,4074,651.21,524.96,2653029.54,2138687.04,514342.5,40.99988,-73.8153
New York City,Product1,750033032,Fleta,Sutton,297,152.58,97.44,45316.26,28939.68,16376.58,40.74959,-73.99172
Staten Island,Product1,849329268,Chung,Corbett,4259,668.27,502.54,2846161.93,2140317.86,705844.07,40.56537,-74.11471
Port Washington,Product1,805762040,Frieda,Forster,1748,421.89,364.69,737463.72,637478.12,99985.6,40.83042,-73.6906
Bronx,Product1,447505176,Sirena,Fogle,5581,205.7,117.11,1148011.7,653590.91,494420.79,40.81068,-73.88309
Bedford,Product1,123045003,Alisha,Bard,606,47.45,31.79,28754.7,19264.74,9489.96,41.19557,-73.65517
Yonkers,Product1,251180350,Deedee,Mercado,8702,668.27,502.54,5815285.54,4373103.08,1442182.46,40.96985,-73.88435
Valley Stream,Product2,871022546,Cecile,Driver,3782,668.27,502.54,2527397.14,1900606.28,626790.86,40.6663,-73.70341
Croton-On-Hudson,Product1,291995418,Roosevelt,Nava,6788,9.33,6.92,63332.04,46972.96,16359.08,41.23329,-73.91364
Brooklyn,Product1,943835294,Floyd,Bollinger,692,109.28,35.84,75621.76,24801.28,50820.48,40.68394,-73.8709
Brooklyn,Product2,826591002,Lacey,Jones,5501,651.21,524.96,3582306.21,2887804.96,694501.25,40.6478,-73.90661
Brooklyn,Product1,260623872,Larry,Dial,3250,437.2,263.33,1420900,855822.5,565077.5,40.72777,-73.95299
Ridgewood,Product1,536607730,Joel,Holiday,3007,154.06,90.93,463258.42,273426.51,189831.91,40.71165,-73.85987
Mount Sinai,Product1,765528905,Camilla,Malloy,5870,81.73,56.67,479755.1,332652.9,147102.2,40.93189,-73.03321
Larchmont,Product1,128686225,Tyron,Lash,9968,255.28,159.42,2544631.04,1589098.56,955532.48,40.93503,-73.74785
Commack,Product1,127691018,Joey,Wren,5465,154.06,90.93,841937.9,496932.45,345005.45,40.80733,-73.27931
Selden,Product1,534467113,Hubert,Ferrer,9550,154.06,90.93,1471273,868381.5,602891.5,40.86371,-73.04897
Great Neck,Product2,741250836,Jason,Yarbrough,1450,81.73,56.67,118508.5,82171.5,36337,40.78864,-73.72687
Hartsdale,Product1,210591018,Raymond,Homan,7417,152.58,97.44,1131685.86,722712.48,408973.38,41.02211,-73.80873
Mount Vernon,Product1,725348985,Carmen,Cazares,5738,154.06,90.93,883996.28,521756.34,362239.94,40.92465,-73.83623
Little Neck,Product1,538698565,Daisy,Noland,1731,668.27,502.54,1156775.37,869896.74,286878.63,,
Staten Island,Product1,224126088,Archie,Caban,2745,205.7,117.11,564646.5,321466.95,243179.55,40.59872,-74.08087
Bronx,Product1,425430381,Bryan,Labbe,3159,47.45,31.79,149894.55,100424.61,49469.94,40.83359,-73.86131
Bronx,Product1,506722772,Shae,Dowdell,9383,154.06,90.93,1445544.98,853196.19,592348.79,40.83075,-73.82626
Bronx,Product3 ,802427089,Bertha,Meador,4862,651.21,524.96,3166183.02,2552355.52,613827.5,40.81048,-73.92806
Bronx,Product1,367279660,Rick,Miles,5068,437.2,263.33,2215729.6,1334556.44,881173.16,40.89317,-73.85647
Brooklyn,Product1,126329314,Lon,Carmona,2506,81.73,56.67,204815.38,142015.02,62800.36,40.60485,-73.99799
Brooklyn,Product1,624937379,Linnie,Christiansen,1713,81.73,56.67,140003.49,97075.71,42927.78,40.66417,-73.95098
Brooklyn,Product1,678777682,Terica,Finney,4255,152.58,97.44,649227.9,414607.2,234620.7,40.61711,-73.91128
Brooklyn,Product1,523836553,Jae,Nowlin,3732,205.7,117.11,767672.4,437054.52,330617.88,40.61836,-74.03315
New York City,Product2,466412818,Jame,Marchand,772,205.7,117.11,158800.4,90408.92,68391.48,40.76015,-73.97195
New York City,Product1,433117806,Larisa,Baines,8039,9.33,6.92,75003.87,55629.88,19373.99,40.79069,-73.94248
New York City,Product1,420875346,Delsie,Rees,5223,437.2,263.33,2283495.6,1375372.59,908123.01,40.81311,-73.93745
New York City,Product1,946921765,Janna,Spooner,4048,437.2,263.33,1769785.6,1065959.84,703825.76,40.76362,-73.97763
New York City,Product1,798805892,Harvey,Novotny,3270,668.27,502.54,2185242.9,1643305.8,541937.1,40.75237,-73.97836
New York City,Product1,184389054,Muriel,Capps,3674,668.27,502.54,2455223.98,1846331.96,608892.02,40.72748,-74.00734
New York City,Product1,281845080,Emelina,Bright,3077,668.27,502.54,2056266.79,1546315.58,509951.21,40.72602,-73.99625
New York City,Product1,989660298,Nida,Christ,1330,421.89,364.69,561113.7,485037.7,76076,40.76655,-73.96925
New York City,Product1,476633536,Margareta,Knotts,5310,154.06,90.93,818058.6,482838.3,335220.3,40.71124,-74.00866
New York City,Product2,131876122,Michelle,Watters,3930,255.28,159.42,1003250.4,626520.6,376729.8,40.77613,-73.96219
New York City,Product1,514811885,Ferdinand,Kuhn,3132,421.89,364.69,1321359.48,1142209.08,179150.4,40.75012,-73.96888
New York City,Product3,905177152,Muoi,Robertson,889,651.21,524.96,578925.69,466689.44,112236.25,40.7363,-73.9934
New York City,Product1,653020751,Yasuko,Ledford,2207,81.73,56.67,180378.11,125070.69,55307.42,40.7743,-73.95719
New York City,Product1,528704011,Christopher,Montez,4121,421.89,364.69,1738608.69,1502887.49,235721.2,40.77959,-73.98192
New York City,Product2,472900760,Scott,Lassiter,699,152.58,97.44,106653.42,68110.56,38542.86,40.75954,-73.96798
New York City,Product1,946597325,Johnathon,Beltran,8039,255.28,159.42,2052195.92,1281577.38,770618.54,40.86383,-73.92618
Astoria,Product1,681092536,Scarlett,Valle,9272,651.21,524.96,6038019.12,4867429.12,1170590,40.78013,-73.90961
Corona,Product1,727997720,Ta,Yarborough,9558,154.06,90.93,1472505.48,869108.94,603396.54,40.75213,-73.86393
Flushing,Product1,409236705,Nathanial,Weldon,1090,255.28,159.42,278255.2,173767.8,104487.4,40.76096,-73.8022
Forest Hills,Product1,467045819,Jamel,Schweitzer,8092,81.73,56.67,661359.16,458573.64,202785.52,,
Fresh Meadows,Product1,813973891,Gracia,Roldan,1818,437.2,263.33,794829.6,478733.94,316095.66,,
Jackson Heights,Product1,982882249,Sheri,Ridley,5554,668.27,502.54,3711571.58,2791107.16,920464.42,40.74698,-73.89042
Jamaica,Product1,576944720,Heriberto,Spearman,9619,437.2,263.33,4205426.8,2532971.27,1672455.53,40.70424,-73.79809
Kew Gardens,Product1,619647634,Ellsworth,Rhyne,6360,154.06,90.93,979821.6,578314.8,401506.8,40.70854,-73.83069
Maspeth,Product1,404789817,Waldo,Breen,5157,255.28,159.42,1316478.96,822128.94,494350.02,40.72428,-73.89845
Ridgewood,Product1,646482598,Isreal,Holliman,7422,152.58,97.44,1132448.76,723199.68,409249.08,,
Middle Village,Product1,329149806,Leana,Fowler,1597,421.89,364.69,673758.33,582409.93,91348.4,40.71286,-73.87803
Ozone Park,Product1,757527768,Boyd,Osburn,8155,651.21,524.96,5310617.55,4281048.8,1029568.75,40.68472,-73.84441
South Richmond Hill,Product2,606665313,Les,Blocker,4602,437.2,263.33,2011994.4,1211844.66,800149.74,40.685,-73.83045
Rockaway Park,Product1,871923768,Daren,Broadnax,474,255.28,159.42,121002.72,75565.08,45437.64,40.58016,-73.83724
Whitestone,Product1,818976962,Tyler,Broughton,2337,154.06,90.93,360038.22,212503.41,147534.81,40.78698,-73.80896
Woodhaven,Product2,233811223,Russel,Bostic,8792,437.2,263.33,3843862.4,2315197.36,1528665.04,40.69252,-73.8598
Staten Island,Product1,772725379,Johnnie,Janssen,5466,47.45,31.79,259361.7,173764.14,85597.56,40.57299,-74.11458
